hall,date,meal,food_name,serving_size,calories,total_fat,saturated_fat,carbs,protein,label_url
south,12/1/2025,Breakfast,Kimchi,1 oz,17,0.3g,0g,3.2g,0.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100218*1
south,12/1/2025,Breakfast,Lite Soy Sauce,1 oz,20,0g,0g,2g,2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220115*1
south,12/1/2025,Breakfast,Oatmeal,3 oz,340,6.8g,1.1g,61.2g,11.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090327*3
south,12/1/2025,Breakfast,Peaches in syrup,2 oz,31,0g,0g,8.3g,0.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090212*2
south,12/1/2025,Breakfast,Pears in syrup,2 oz,28,0g,0g,7.3g,0.2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090213*2
south,12/1/2025,Breakfast,Pineapple,2 oz,40,0.1g,0g,10.5g,0.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090215*2
south,12/1/2025,Breakfast,Raspberries,2 oz,27,0.3g,0g,6.2g,0.6g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090308*2
south,12/1/2025,Breakfast,Roasted Corn,3 oz,126,1.5g,0g,26.4g,3.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150350*3
south,12/1/2025,Breakfast,Sliced Lemons,1 each,3,0g,0g,1.2g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220070*1
south,12/1/2025,Breakfast,Special K Berry,5 oz,503,0g,0g,123.5g,9.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090319*5
south,12/1/2025,Breakfast,Strawberry Yogurt,3 oz,67,0g,0g,14.2g,2.2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090299*3
south,12/1/2025,Breakfast,Watermelon,2 each,50,0g,0g,13.6g,0.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090214*2
south,12/1/2025,Breakfast,Yogurt Plain,3 oz,77,0.8g,0.6g,14.7g,3.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090298*3
south,12/1/2025,Breakfast,Cinnamon Scone,1 each,432,22.1g,15.1g,50.2g,8g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=119375*1
south,12/1/2025,Breakfast,Kale Pineapple Blueberry Smoothie,4 oz,56,0.4g,0g,14g,1.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220093*4
south,12/1/2025,Breakfast,Mango Banana Yogurt Smoothie,4 oz,87,0.5g,0.3g,18.8g,2.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220086*4
south,12/1/2025,Breakfast,Mini Croissant,1 each,123,5.5g,3.7g,14.8g,2.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=119374*1
south,12/1/2025,Breakfast,Bagels,1 ea,295,1.2g,0.3g,60.5g,10g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=119360*1
south,12/1/2025,Breakfast,Chocolate Milk,8 oz,188,7.7g,4.8g,23.5g,7.2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=233006*8
south,12/1/2025,Breakfast,Chocolate Pea Milk,8 oz,132,4.7g,0.5g,14.2g,7.6g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=233007*8
south,12/1/2025,Breakfast,Cream Cheese Onion and Chive,1 oz,92,8.1g,5.4g,1.4g,8.2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090333*1
south,12/1/2025,Breakfast,Donuts,1 EACH,138,7.3g,2.4g,17g,1.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=119364*1
south,12/1/2025,Breakfast,Milk 2%,8 oz,113,4.5g,2.9g,10.6g,7.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=233004*8
south,12/1/2025,Breakfast,Oatmilk,8 oz,123,4.7g,0.5g,17.9g,1.9g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=233009*8
south,12/1/2025,Breakfast,Plain Cream Cheese,1 oz,101,9.1g,6.1g,1g,9.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090331*1
south,12/1/2025,Breakfast,Skim Milk,8 oz,76,0g,0g,11.3g,7.6g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=233005*8
south,12/1/2025,Breakfast,Strawberry Cream Cheese,1 oz,100,7.3g,4.9g,4.9g,7.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090332*1
south,12/1/2025,Breakfast,Strawberry Topping,2 oz,94,0g,0g,20.5g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090329*2
south,12/1/2025,Breakfast,Vanilla Soy Milk,8 oz,94,3.8g,0.5g,8.5g,7.6g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=233008*8
south,12/1/2025,Breakfast,Waffle,7 oz,785,47.9g,26.8g,71.9g,16.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090328*7
south,12/1/2025,Breakfast,Whipped Cream,1 oz,35,2.4g,2.4g,2.4g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090330*1
south,12/1/2025,Breakfast,Cheese Sausage Breakfast Bagel Sandwich,1 each,1105,54.1g,18.4g,135.8g,24.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=126713*1
